id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_komoditas,produksi_sayuran,satuan,tahun
193,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KACANG PANJANG,141.0,TON,2013
194,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KANGKUNG,60.0,TON,2013
195,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KEMBANG KOL,60.0,TON,2013
196,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KENTANG,149.0,TON,2013
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KETIMUN,1036.0,TON,2013
198,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KUBIS,3045.0,TON,2013
199,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LABU SIAM,130.0,TON,2013
200,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LOBAK,70.0,TON,2013
201,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MELON,0.0,TON,2013
202,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PAPRIKA,0.0,TON,2013
203,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PETSAI/SAWI,6589.0,TON,2013
204,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SEMANGKA,0.0,TON,2013
205,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,STROBERI,0.0,TON,2013
206,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TERUNG,92.0,TON,2013
207,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TOMAT,3032.0,TON,2013
208,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,WORTEL,1159.0,TON,2013
209,32,JAWA BARAT,3209,KABUPATEN CIREBON,BAWANG DAUN,0.0,TON,2013
210,32,JAWA BARAT,3209,KABUPATEN CIREBON,BAWANG MERAH,36449.0,TON,2013
211,32,JAWA BARAT,3209,KABUPATEN CIREBON,BAWANG PUTIH,0.0,TON,2013
212,32,JAWA BARAT,3209,KABUPATEN CIREBON,BAYAM,27.0,TON,2013
213,32,JAWA BARAT,3209,KABUPATEN CIREBON,BLEWAH,0.0,TON,2013
214,32,JAWA BARAT,3209,KABUPATEN CIREBON,BUNCIS,22.0,TON,2013
215,32,JAWA BARAT,3209,KABUPATEN CIREBON,CABE BESAR,3834.0,TON,2013
216,32,JAWA BARAT,3209,KABUPATEN CIREBON,CABE RAWIT,0.0,TON,2013
217,32,JAWA BARAT,3209,KABUPATEN CIREBON,JAMUR,94223.0,TON,2013
218,32,JAWA BARAT,3209,KABUPATEN CIREBON,KACANG MERAH,0.0,TON,2013
219,32,JAWA BARAT,3209,KABUPATEN CIREBON,KACANG PANJANG,549.0,TON,2013
